	count	mean	std	min	25%	50%	75%	max	mode	ATACseq_overlap	ATACseq_ranges_overlap	ATACseq_Jaccard	DNAseq_overlap	DNAseq_ranges_overlap	DNAseq_Jaccard	genes_overlap	percentage_open	percentage_open_adj	model_name
Length	15211.0	152.29767931102492	119.94607491746102	100.0	100.0	100.0	200.0	2600.0	100.0	0.8122102744660894	0.02579081412414746	0.025637933860678832	0.7307460169162209	0.03815203315203315	0.03762313944608427	0.5832793749460417	0.12685558324737478	0.15179163070248153	test run
Length	12892.0	127.94097114489605	111.84360585750049	5.0	80.0	95.0	135.0	1985.0	95.0	0.7855793151262218	0.035035451963271826	0.03470358902418225	0.6941768844719676	0.05090289587520424	0.04978640942502508	0.596976503790738	0.09032094528272844	0.10807536586166518	k-prototypes 5 features 2 clusters, gamma=1, threshold=2
0																			k-prototypes 5 features 2 clusters, gamma=1, threshold=3
Length	13283.0	128.935105021456	112.78200014111108	5.0	80.0	95.0	140.0	1985.0	95.0	0.790078982069303	0.03393522884193747	0.03363198727841828	0.6994518350709803	0.04939610952649265	0.04836946453851238	0.5956523389260472	0.09378338097673324	0.11221841378073533	k-prototypes 5 features 2 clusters, gamma=2, threshold=2
0																			k-prototypes 5 features 2 clusters, gamma=2, threshold=3
Length	13298.0	129.185967814709	112.685038086909	5.0	80.0	95.0	135.0	1985.0	95.0	0.7915743396636805	0.03389515779302236	0.0335953271518716	0.6985423608297713	0.04918054734954873	0.048158433539902505	0.5951935922324446	0.0940719629173849	0.11256372237686849	k-prototypes 5 features 2 clusters, gamma=4, threshold=2
0																			k-prototypes 5 features 2 clusters, gamma=4, threshold=3
Length	12850.0	127.09649805447471	110.741130443997	5.0	80.0	95.0	135.0	1985.0	95.0	0.784478188170362	0.03533391705802754	0.0349942148299257	0.692862280796038	0.05131123751676168	0.05017008533602181	0.5972997630404301	0.08943247431743936	0.10701224784036338	k-prototypes 5 features 2 clusters, gamma=8, threshold=2
0																			k-prototypes 5 features 2 clusters, gamma=8, threshold=3
Length	13183.0	128.12409921869073	112.90367283454302	5.0	80.0	95.0	135.0	1985.0	95.0	0.7880942347167657	0.03432264099558334	0.03400878069841985	0.6982695185574085	0.050001184090559245	0.04894370155903553	0.5958450262276059	0.09249188096339932	0.11067304314699708	k-prototypes 5 features 2 clusters, gamma=16, threshold=2
0																			k-prototypes 5 features 2 clusters, gamma=16, threshold=3
Length	13075.0	127.89636711281071	110.95801361131011	5.0	80.0	95.0	135.0	1985.0	95.0	0.7871154552004459	0.03462471109197516	0.034303470870694734	0.6960206367973278	0.05034130764331782	0.04925831372647689	0.5959467661736169	0.09157110196300883	0.10957126628855703	k-prototypes 5 features 2 clusters, gamma=32, threshold=2
0																			k-prototypes 5 features 2 clusters, gamma=32, threshold=3
Length	12883.0	127.91314134906466	111.68094686496018	5.0	80.0	95.0	135.0	1985.0	95.0	0.7858376041652506	0.03507908526280338	0.03474690426343379	0.6930855153825166	0.05086943725518158	0.049748787259069	0.597373028178202	0.09023825861662141	0.10797642544797238	k-prototypes 5 features 2 clusters, gamma=64, threshold=2
